C_out0,C_out1,C_out2,C_out3,C_out4,Class
0.464309114,0.340813892,0.171048425,0.075460536,0.24769651,0
0.77903658,1.911301807,0.695802882,0.139396707,0.479719505,0
1.287840684,4.185143214,1.318673486,0.125648867,0.435650184,0
1.102935224,1.475078132,0.517787577,0.069653992,0.248364756,0
0.584125007,4.850920061,0.975297254,0.240311475,0.587884544,0
0.518284333,6.112101749,1.317745333,0.333994151,0.847663795,1
0.393345933,6.220330947,1.277836702,0.430118486,1.028459815,1
0.582862084,6.145222735,1.500780723,0.326392326,0.903034193,1
0.69707669,5.557695094,1.132692446,0.219745981,0.553759857,0
0.78583746,5.5964099,1.299035061,0.214723701,0.592697326,0
0.506356506,6.161478797,1.408905648,0.359526519,0.942007332,1
1.066748186,5.329009718,1.853217629,0.201448081,0.731231962,0
0.358590766,5.634854389,1.067913142,0.417202542,0.937667185,0
0.975320856,2.659367768,1.17336587,0.159411102,0.638968502,0
0.396778092,0.626164881,0.132845264,0.082120865,0.181506405,0
0.761595211,1.778296381,0.767037601,0.153313623,0.570829001,0
0.820240327,5.275028222,1.40331765,0.218810784,0.657647263,0
0.594113855,6.483014457,1.264131229,0.278202927,0.675545208,1
0.385988851,5.400559372,1.029805748,0.379325626,0.86170622,0
0.528538042,0.443687577,0.161491142,0.063064135,0.191448335,0
0.75332718,2.925564079,0.850897852,0.169594284,0.521273759,0
0.582418135,0.95462353,0.402178317,0.125049548,0.422163722,0
0.39840353,0.470556784,0.103511586,0.064856085,0.145271027,0
0.875826836,5.613038846,1.836229354,0.248229054,0.851065666,0
0.462287085,1.673666377,0.374531542,0.159183737,0.384734701,0
0.580259946,5.824851236,1.376580817,0.309049473,0.836638551,0
0.804826897,4.542323936,1.183994741,0.19843022,0.585313206,0
0.387763028,5.413646376,1.124820927,0.403535508,0.962774253,0
0.281409231,0.123074525,0.059483411,0.0531065,0.139087471,0
0.718581838,2.907752071,0.905410217,0.187553307,0.594322314,0
0.256986772,0.754015704,0.200119046,0.188017552,0.412428257,0
0.303205138,2.052492227,0.435079736,0.277669019,0.609801842,0
1.30527152,5.774771484,1.920214965,0.163712197,0.591487738,0
0.297412606,4.122424431,0.81986081,0.427265977,0.944064027,0
0.793383911,3.978940876,0.987783455,0.176852878,0.503991666,0
0.940700167,4.082642398,1.249257726,0.174483228,0.574275356,0
0.354114919,5.015641916,0.942414833,0.39026631,0.86654515,0
0.59901909,6.251335535,1.135679811,0.254660118,0.591836909,1
0.37997606,5.6351538,1.164730212,0.420557973,0.999778455,0
0.945116845,2.981243809,0.790393399,0.122605909,0.367952836,0
0.459341033,2.280965133,0.51702375,0.203193816,0.500242762,0
0.389375894,4.39059445,0.943104161,0.3607152,0.867868927,0
1.01712226,5.294241091,1.959383533,0.221442224,0.828986123,0
0.454362784,5.62728795,1.06984428,0.32925818,0.762504637,0
0.379764838,3.555023398,0.693908662,0.300180274,0.675819564,0
0.451253412,2.736944943,0.517049559,0.204695016,0.458490695,0
0.4185829,4.897154411,1.131125446,0.379622033,0.965535015,0
0.430052432,0.920898018,0.27645172,0.135437141,0.362993155,0
0.780876017,4.816031841,1.453351388,0.238715997,0.766013826,0
0.405662146,0.716743252,0.211105093,0.116268185,0.301468251,0
0.617969167,2.165715128,0.602947927,0.164366098,0.473354164,0
0.342974964,4.614265216,0.966619466,0.414619999,0.968670145,0
0.680415639,4.679578427,1.1099789,0.226449417,0.620567885,0
0.341457552,1.890525842,0.485107936,0.266829932,0.654866953,0
0.328613239,3.329987321,0.691206035,0.348480192,0.790239014,0
0.57120348,5.864586528,1.673839544,0.362994867,1.092827536,0
0.731879661,1.849852059,0.45347447,0.107647078,0.295463079,0
0.3799535,5.426372543,1.070123416,0.396506773,0.916413588,0
0.648799392,2.539493146,0.866689699,0.20379348,0.662960904,0
0.851912797,6.05514588,1.688958353,0.238926622,0.744888576,1
0.477777854,1.787820998,0.336068191,0.140531461,0.311704036,0
0.776398765,3.057376754,0.770129112,0.151401267,0.430888741,0
0.394103528,5.385804832,1.197480577,0.4162858,1.033199525,0
1.108325238,5.707648316,1.929835604,0.198252485,0.711947437,0
0.491973587,4.695811454,1.008793822,0.296729352,0.738957689,0
0.547245429,3.011739183,0.588548485,0.182084911,0.427951649,0
0.565022657,2.313859529,0.573677646,0.174915014,0.467535266,0
0.234222982,0.093084699,0.038268606,0.045127463,0.103940332,0
0.440504134,0.513452172,0.142231824,0.074352328,0.190308449,0
0.366359896,3.217984283,0.732719621,0.327044227,0.79078267,0
0.872544093,4.054456171,1.131956946,0.176312643,0.544830803,0
0.780196902,3.655828203,1.397224069,0.234380627,0.848467121,0
0.594742199,0.97619118,0.285734734,0.093870215,0.268819003,0
0.415921496,1.663005111,0.474452685,0.213546785,0.570452458,0
0.55352107,5.494917117,1.219756946,0.298041349,0.771935995,0
0.902729673,5.746679346,1.607480161,0.216914736,0.680350238,0
